suburb,latitude,longitude,postcode,local_government_area
"Aintree, Victoria",-37.71806,144.66806,3336,City of Melton
"West Melbourne, Victoria",-37.808,144.927,3003,City of Melbourne
"South Yarra, Victoria",-37.84,144.989,3141,City of Melbourne
"South Wharf, Victoria",-37.825,144.952,3006,City of Melbourne
"Southbank, Victoria",-37.829,144.957,3006,City of Melbourne
"Parkville, Victoria",-37.788,144.951,3052,City of Melbourne
"North Melbourne, Victoria",-37.79917,144.94667,3051,City of Melbourne
"Kensington, Victoria",-37.791,144.931,3031,City of Melbourne
"Flemington, Victoria",-37.785,144.928,3031,City of Melbourne
"East Melbourne, Victoria",-37.813,144.985,3002,City of Melbourne
"Port Melbourne, Victoria",-37.82389,144.91111,3207,City of Melbourne
"Melbourne CBD (St Kilda Road area), Victoria",-37.82056,144.96889,3004,City of Melbourne
"Melbourne CBD, Victoria",-37.814,144.963,3000,City of Melbourne
"Carlton North, Victoria",-37.784,144.969,3054,City of Melbourne
"Docklands, Victoria",-37.817,144.946,3008,City of Melbourne
"Park Orchards, Victoria",-37.778,145.214,3114,City of Maroondah
"Warranwood, Victoria",-37.777,145.249,3134,City of Maroondah
"Vermont, Victoria",-37.838,145.198,3133,City of Maroondah
"Ringwood East, Victoria",-37.818,145.252,3135,City of Maroondah
"Ringwood, Victoria",-37.8114,145.2306,3134,City of Maroondah
"Carlton, Victoria",-37.8001,144.9671,3053,City of Melbourne
"Kilsyth South, Victoria",-37.83,145.32,3137,City of Maroondah
"Kilsyth, Victoria",-37.802,145.316,3137,City of Maroondah
"Croydon Hills, Victoria",-37.775,145.266,3136,City of Maroondah
"Heathmont, Victoria",-37.83,145.242,3135,City of Maroondah
"Croydon South, Victoria",-37.814,145.271,3136,City of Maroondah
"Croydon North, Victoria",-37.767,145.287,3136,City of Maroondah
"Croydon, Victoria",-37.796,145.281,3136,City of Maroondah
"Bayswater North, Victoria",-37.827,145.28,3153,City of Maroondah
"Yarraville, Victoria",-37.817,144.89,3013,City of Maribyrnong
"West Footscray, Victoria",-37.809,144.874,3012,City of Maribyrnong
"Tottenham, Victoria",-37.806,144.857,3012,City of Maribyrnong
"Seddon, Victoria",-37.81,144.894,3011,City of Maribyrnong
"Maribyrnong, Victoria",-37.77,144.893,3032,City of Maribyrnong
"Maidstone, Victoria",-37.783,144.878,3012,City of Maribyrnong
"Kingsville, Victoria",-37.809,144.878,3012,City of Maribyrnong
"Footscray, Victoria",-37.798,144.899,3011,City of Maribyrnong
"Warrandyte South, Victoria",-37.768,145.201,3134,City of Manningham
"Braybrook, Victoria",-37.786,144.856,3019,City of Maribyrnong
"Templestowe Lower, Victoria",-37.765,145.114,3107,City of Manningham
"Wonga Park, Victoria",-37.739,145.267,3115,City of Manningham
"Warrandyte, Victoria",-37.738,145.223,3113,City of Manningham
"Templestowe, Victoria",-37.753,145.135,3106,City of Manningham
"Ringwood North, Victoria",-37.799883,145.226877,3134,City of Manningham
"Nunawading, Victoria",-37.817,145.177,3131,City of Manningham
"Donvale, Victoria",-37.797,145.175,3111,City of Manningham
"Doncaster East, Victoria",-37.783,145.166,3109,City of Manningham
"Park Orchards, Victoria",-37.778,145.214,3114,City of Manningham
"Doncaster, Victoria",-37.78,145.124,3108,City of Manningham
"Bulleen, Victoria",-37.77,145.09,3105,City of Manningham
"Wantirna South, Victoria",-37.881,145.224,3152,City of Knox
"Wantirna, Victoria",-37.844,145.229,3152,City of Knox
"Upper Ferntree Gully, Victoria",-37.895,145.31,3156,City of Knox
"Scoresby, Victoria",-37.894,145.234,3179,City of Knox
"Lysterfield, Victoria",-37.93,145.301,3156,City of Knox
"Rowville, Victoria",-37.937,145.229,3178,City of Knox
"Knoxfield, Victoria",-37.891,145.248,3180,City of Knox
"The Basin, Victoria",-37.86,145.314,3154,City of Knox
"Sassafras, Victoria",-37.87,145.35389,3787,City of Knox
"Ferntree Gully, Victoria",-37.8862,145.2821,3156,City of Knox
"Boronia, Victoria",-37.862,145.286,3155,City of Knox
"Waterways, Victoria",-38.016,145.13,3195,City of Kingston
"Parkdale, Victoria",-37.991,145.08,3195,City of Kingston
"Mordialloc, Victoria",-37.999,145.092,3195,City of Kingston
"Moorabbin Airport, Victoria",-37.97583,145.10222,3194,City of Kingston
"Bayswater, Victoria",-37.843,145.268,3153,City of Knox
"Patterson Lakes, Victoria",-38.076,145.122,3197,City of Kingston
"Heatherton, Victoria",-37.95,145.085,3202,City of Kingston
"Mentone, Victoria",-37.985,145.06889,3194,City of Kingston
"Edithvale, Victoria",-38.037,145.113,3196,City of Kingston
"Chelsea, Victoria",-38.05111,145.12194,3196,City of Kingston
"Dingley Village, Victoria",-37.981,145.128,3172,City of Kingston
"Clayton South, Victoria",-37.947,145.123,3169,City of Kingston
"Clarinda, Victoria",-37.941,145.103,3169,City of Kingston
"Chelsea Heights, Victoria",-38.047,145.137,3196,City of Kingston
"Carrum, Victoria",-38.076,145.122,3197,City of Kingston
"Braeside, Victoria",-38,145.125,3195,City of Kingston
"Bonbeach, Victoria",-38.062,145.12,3196,City of Kingston
"Aspendale Gardens, Victoria",-38.02278,145.11889,3195,City of Kingston
"Aspendale, Victoria",-38.025,145.104,3195,City of Kingston
"Yuroke, Victoria",-37.6,144.88,3063,City of Hume
"Wildwood, Victoria",-37.57167,144.79361,3429,City of Hume
"Oaklands Junction, Victoria",-37.63,144.837,3063,City of Hume
"Kalkallo, Victoria",-37.52694,144.94694,3064,City of Hume
"Mickleham, Victoria",-37.562,144.874,3064,City of Hume
"Sunbury, Victoria",-37.58111,144.71389,3429,City of Hume
"Westmeadows, Victoria",-37.678,144.893,3049,City of Hume
"Somerton, Victoria",-37.633,144.95,3062,City of Hume
"Roxburgh Park, Victoria",-37.627,144.929,3064,City of Hume
"Diggers Rest, Victoria",-37.62806,144.72111,3427,City of Hume
"Melbourne Airport, Victoria",-37.6875,144.84056,3045,City of Hume
"Clarkefield, Victoria",-37.483,144.75,3430,City of Hume
"Bulla, Victoria",-37.63694,144.80306,3428,City of Hume
"Coolaroo, Victoria",-37.657,144.927,3048,City of Hume
"Campbellfield, Victoria",-37.673,144.957,3061,City of Hume
"Meadow Heights, Victoria",-37.65,144.922,3048,City of Hume
"Jacana, Victoria",-37.68,144.912,3047,City of Hume
"Greenvale, Victoria",-37.633,144.883,3059,City of Hume
"Gladstone Park, Victoria",-37.688,144.892,3043,City of Hume
"Dallas, Victoria",-37.668,144.94,3047,City of Hume
"Craigieburn, Victoria",-37.594,144.934,3064,City of Hume
"Seaholme, Victoria",-37.868,144.841,3018,City of Hobsons Bay
"Seabrook, Victoria",-37.876,144.758,3028,City of Hobsons Bay
"Spotswood, Victoria",-37.831,144.887,3015,City of Hobsons Bay
"Broadmeadows, Victoria",-37.685,144.925,3047,City of Hume
"Attwood, Victoria",-37.666,144.887,3049,City of Hume
"Williamstown North, Victoria",-37.855,144.89611,3016,City of Hobsons Bay
"South Kingsville, Victoria",-37.819,144.873,3015,City of Hobsons Bay
"Williamstown, Victoria",-37.861,144.885,3016,City of Hobsons Bay
"Laverton, Victoria",-37.858,144.773,3028,City of Hobsons Bay
"Altona Meadows, Victoria",-37.875,144.782,3028,City of Hobsons Bay
"Bangholme, Victoria",-38.049,145.166,3175,City of Greater Dandenong
"Springvale, Victoria",-37.947,145.153,3171,City of Greater Dandenong
"Springvale South, Victoria",-37.977,145.157,3172,City of Greater Dandenong
"Newport, Victoria",-37.842,144.884,3015,City of Hobsons Bay
"Altona North, Victoria",-37.841,144.849,3025,City of Hobsons Bay
"Altona, Victoria",-37.868,144.83,3018,City of Hobsons Bay
"Noble Park North, Victoria",-37.942,145.19,3174,City of Greater Dandenong
"Noble Park, Victoria",-37.967,145.176,3174,City of Greater Dandenong
"Dandenong South, Victoria",-38.031,145.215,3175,City of Greater Dandenong
"Dandenong North, Victoria",-37.959,145.208,3175,City of Greater Dandenong
"Dandenong, Victoria",-37.981,145.215,3175,City of Greater Dandenong
"St Kilda East, Victoria",-37.862,144.997,3183,City of Glen Eira
"Ormond, Victoria",-37.84,145.0397,3204,City of Glen Eira
"Keysborough, Victoria",-37.989,145.172,3173,City of Greater Dandenong
"McKinnon, Victoria",-37.91,145.039,3204,City of Glen Eira
"Murrumbeena, Victoria",-37.899,145.072,3163,City of Glen Eira
"Carnegie, Victoria",-37.888,145.062,3163,City of Glen Eira
"Caulfield South, Victoria",-37.891,145.026,3162,City of Glen Eira
"Caulfield North, Victoria",-37.873,145.025,3161,City of Glen Eira
"Glen Huntly, Victoria",-37.894,145.046,3163,City of Glen Eira
"Gardenvale, Victoria",-37.899,145.007,3185,City of Glen Eira
"Elsternwick, Victoria",-37.887,145.006,3185,City of Glen Eira
"Caulfield East, Victoria",-37.876,145.044,3145,City of Glen Eira
"Sandhurst, Victoria",-38.081,145.207,3977,City of Frankston
"Caulfield, Victoria",-37.884,145.0266,3162,City of Glen Eira
"Bentleigh East, Victoria",-37.921,145.067,3165,City of Glen Eira
"Bentleigh, Victoria",-37.922,145.036,3204,City of Glen Eira
"Langwarrin South, Victoria",-38.189,145.189,3911,City of Frankston
"Skye, Victoria",-38.119,145.2,3977,City of Frankston
"Seaford, Victoria",-38.105,145.132,3198,City of Frankston
"Langwarrin, Victoria",-38.151,145.181,3910,City of Frankston
"Reservoir, Victoria",-37.713,145.012,3073,City of Darebin
"Frankston South, Victoria",-38.188,145.153,3199,City of Frankston
"Frankston North, Victoria",-38.123,145.153,3200,City of Frankston
"Carrum Downs, Victoria",-38.096,145.178,3201,City of Frankston
"Thornbury, Victoria",-37.76,145.007,3071,City of Darebin
"Preston, Victoria",-37.743,145.008,3072,City of Darebin
"Northcote, Victoria",-37.7722,144.9994,3070,City of Darebin
"Frankston, Victoria",-38.13333,145.11667,3199,City of Frankston
"Kingsbury, Victoria",-37.715,145.034,3083,City of Darebin
"Fairfield, Victoria",-37.792,145.011,3078,City of Darebin
"Alphington, Victoria",-37.78,145.023,3078,City of Darebin
"Lysterfield South, Victoria",-37.949,145.26,3156,City of Casey
"Warneet, Victoria",-38.224,145.309,3980,City of Casey
"Tooradin, Victoria",-38.21111,145.38,3980,City of Casey
"Pearcedale, Victoria",-38.203,145.243,3912,City of Casey
"Lyndhurst, Victoria",-38.04722,145.24472,3975,City of Casey
"Devon Meadows, Victoria",-38.162,145.303,3977,City of Casey
"Cannons Creek, Victoria",-38.213,145.315,3977,City of Casey
"Blind Bight, Victoria",-38.214,145.34,3980,City of Casey
"Narre Warren South, Victoria",-38.055,145.303,3805,City of Casey
"Narre Warren North, Victoria",-37.982,145.314,3804,City of Casey
"Harkaway, Victoria",-37.999,145.344,3806,City of Casey
"Narre Warren, Victoria",-38.018,145.3,3805,City of Casey
"Lynbrook, Victoria",-38.05,145.252,3975,City of Casey
"Junction Village, Victoria",-38.132,145.293,3977,City of Casey
"Hampton Park, Victoria",-38.029,145.26,3976,City of Casey
"Cranbourne North, Victoria",-38.07,145.291,3977,City of Casey
"Hallam, Victoria",-38.009,145.268,3803,City of Casey
"Eumemmerring, Victoria",-37.999,145.247,3177,City of Casey
"Endeavour Hills, Victoria",-37.969,145.2558,3802,City of Casey
"Doveton, Victoria",-37.988,145.239,3177,City of Casey
"Cranbourne South, Victoria",-38.149,145.261,3977,City of Casey
"Cranbourne East, Victoria",-38.105,145.307,3977,City of Casey
"Clyde North, Victoria",-38.117,145.333,3978,City of Casey
"Clyde, Victoria",-38.132,145.327,3978,City of Casey
"Botanic Ridge, Victoria",-38.144,145.267,3977,City of Casey
"Berwick, Victoria",-38.031,145.344,3806,City of Casey
"Yannathan, Victoria",-38.233,145.633,3894,Shire of Cardinia
"Vervale, Victoria",-38.133,145.667,3814,Shire of Cardinia
"Cranbourne, Victoria",-38.105,145.279,3977,City of Casey
"Rythdale, Victoria",-38.15,145.456,3810,Shire of Cardinia
"Pakenham Upper, Victoria",-38.0712,145.4878,3810,Shire of Cardinia
"Pakenham South, Victoria",-38.0712,145.4878,3810,Shire of Cardinia
"Tynong North, Victoria",-38.083,145.617,3813,Shire of Cardinia
"Officer South, Victoria",-38.05806,145.40889,3809,Shire of Cardinia
"Tynong, Victoria",-38.083333,145.616667,3813,Shire of Cardinia
"Tooradin North, Victoria",-38.21111,145.38,3977,Shire of Cardinia
"Tonimbuk, Victoria",-38,145.717,3815,Shire of Cardinia
"Dewhurst, Victoria",-37.978,145.464,3809,Shire of Cardinia
"Dalmore, Victoria",-38.19,145.425,3981,Shire of Cardinia
"Cora Lynn, Victoria",-38.14528,145.60583,3814,Shire of Cardinia
"Nyora, Victoria",-38.333,145.667,3987,Shire of Cardinia
"Nar Nar Goon North, Victoria",-38.019,145.551,3812,Shire of Cardinia
"Nar Nar Goon, Victoria",-38.08194,145.575,3812,Shire of Cardinia
"Nangana, Victoria",-37.867,145.533,3781,Shire of Cardinia
"Garfield, Victoria",-38.067,145.683,3814,Shire of Cardinia
"Cockatoo, Victoria",-37.935,145.492,3781,Shire of Cardinia
"Clematis, Victoria",-37.929,145.423,3782,Shire of Cardinia
"Catani, Victoria",-38.183,145.65,3981,Shire of Cardinia
"Cardinia, Victoria",-38.147,145.423,3978,Shire of Cardinia
"Caldermeade, Victoria",-38.25,145.552,3984,Shire of Cardinia
"Bunyip North, Victoria",-38.067,145.717,3815,Shire of Cardinia
"Bunyip, Victoria",-38.083,145.717,3815,Shire of Cardinia
"Beaconsfield Upper, Victoria",-37.996,145.415,3808,Shire of Cardinia
"Bayles, Victoria",-38.182,145.575,3981,Shire of Cardinia
"Avonsleigh, Victoria",-37.925,145.48194,3782,Shire of Cardinia
"Pakenham, Victoria",-38.0712,145.4878,3810,Shire of Cardinia
"Officer, Victoria",-38.05806,145.40889,3809,Shire of Cardinia
"Emerald, Victoria",-37.93306,145.43694,3782,Shire of Cardinia
"Beaconsfield, Victoria",-38.049,145.371,3807,Shire of Cardinia
"Tullamarine, Victoria",-37.701,144.876,3043,City of Brimbank
"Taylors Lakes, Victoria",-37.701,144.796,3038,City of Brimbank
"Sydenham, Victoria",-37.702,144.767,3037,City of Brimbank
"Kings Park, Victoria",-37.734,144.772,3021,City of Brimbank
"Keilor Park, Victoria",-37.719,144.851,3042,City of Brimbank
"Keilor North, Victoria",-37.68,144.784,3036,City of Brimbank
"Sunshine, Victoria",-37.781,144.832,3020,City of Brimbank
"St Albans, Victoria",-37.73611,144.80389,3021,City of Brimbank
"Keilor Lodge, Victoria",-37.694,144.79,3038,City of Brimbank
"Sunshine West, Victoria",-37.795,144.816,3020,City of Brimbank
"Keilor East, Victoria",-37.74167,144.86306,3033,City of Brimbank
"Keilor Downs, Victoria",-37.722,144.803,3038,City of Brimbank
"Keilor, Victoria",-37.712,144.831,3036,City of Brimbank
"Derrimut, Victoria",-37.795,144.766,3030,City of Brimbank
"Kealba, Victoria",-37.739,144.828,3021,City of Brimbank
"Hillside, Victoria",-37.687,144.743,3037,City of Brimbank
"Sunshine North, Victoria",-37.756,144.849,3020,City of Brimbank
"Delahey, Victoria",-37.719,144.777,3037,City of Brimbank
"Calder Park, Victoria",-37.679,144.762,3037,City of Brimbank
"Cairnlea, Victoria",-37.757,144.784,3023,City of Brimbank
"Brooklyn, Victoria",-37.813,144.841,3012,City of Brimbank
"Ardeer, Victoria",-37.785,144.802,3022,City of Brimbank
"Albion, Victoria",-37.781,144.8145,3020,City of Brimbank
"Deer Park, Victoria",-37.763,144.767,3023,City of Brimbank
"Surrey Hills, Victoria",-37.83,145.106,3127,City of Boroondara
"Albanvale, Victoria",-37.746,144.765,3021,City of Brimbank
"Mont Albert North, Victoria",-37.80806,145.11389,3127,City of Boroondara
"Mont Albert, Victoria",-37.81611,145.11,3127,City of Boroondara
"Kew East, Victoria",-37.79694,145.05694,3102,City of Boroondara
"Hawthorn East, Victoria",-37.831,145.05,3123,City of Boroondara
"Hawthorn, Victoria",-37.826,145.034,3122,City of Boroondara
"Glen Iris, Victoria",-37.856,145.059,3146,City of Boroondara
"Deepdene, Victoria",-37.81306,145.06778,3103,City of Boroondara
"Kew, Victoria",-37.80528,145.03583,3101,City of Boroondara
"Balwyn North, Victoria",-37.79361,145.08639,3104,City of Boroondara
"Canterbury, Victoria",-37.825,145.078,3126,City of Boroondara
"Camberwell, Victoria",-37.835,145.071,3124,City of Boroondara
"Highett, Victoria",-37.95,145.05,3190,City of Bayside
"Balwyn, Victoria",-37.80889,145.07889,3103,City of Boroondara
"Ashburton, Victoria",-37.86694,145.08306,3147,City of Boroondara
"Sandringham, Victoria",-37.9525,145.012311,3191,City of Bayside
"Moorabbin, Victoria",-37.941,145.058,3189,City of Bayside
"Hampton East, Victoria",-37.939,145.031,3188,City of Bayside
"Hampton, Victoria",-37.937,145.009,3188,City of Bayside
"Gardenvale, Victoria",-37.899,145.007,3185,City of Bayside
"Black Rock, Victoria",-37.972,145.021,3193,City of Bayside
"Beaumaris, Victoria",-37.983,145.0434,3193,City of Bayside
"Cheltenham, Victoria",-37.967,145.068,3192,City of Bayside
"Brighton East, Victoria",-37.916,145.015,3187,City of Bayside
"Brighton, Victoria",-37.905,144.996,3186,City of Bayside
"Yallambie, Victoria",-37.726,145.104,3085,City of Banyule
"Watsonia North, Victoria",-37.7,145.081,3087,City of Banyule
"Watsonia, Victoria",-37.708,145.083,3087,City of Banyule
"Lower Plenty, Victoria",-37.734,145.116,3093,City of Banyule
"Viewbank, Victoria",-37.731,145.1,3084,City of Banyule
"St Helena, Victoria",-37.686,145.137,3088,City of Banyule
"Rosanna, Victoria",-37.737,145.069,3084,City of Banyule
"Montmorency, Victoria",-37.719,145.126,3094,City of Banyule
"Macleod, Victoria",-37.714,145.066,3085,City of Banyule
"Heidelberg West, Victoria",-37.744,145.047,3081,City of Banyule
"Heidelberg Heights, Victoria",-37.742,145.053,3081,City of Banyule
"Heidelberg, Victoria",-37.752,145.07,3084,City of Banyule
"Eltham North, Victoria",-37.698,145.144,3095,City of Banyule
"Eltham, Victoria",-37.715,145.158,3095,City of Banyule
"Ivanhoe East, Victoria",-37.772,145.066,3079,City of Banyule
"Ivanhoe, Victoria",-37.7703,145.0457,3079,City of Banyule
"Greensborough, Victoria",-37.686,145.117,3088,City of Banyule
"Eaglemont, Victoria",-37.763,145.066,3084,City of Banyule
"Bundoora, Victoria",-37.695,145.064,3083,City of Banyule
"Briar Hill, Victoria",-37.708,145.115,3088,City of Banyule